Segment	Chr	StartMB	StopMB	Length	N_SNP	StartSNP	StopSNP
1	1	0.070	121.485	121.415	65138	rs548049170	rs4787556
2	1	142.536	249.223	106.687	57063	rs201082708	rs114152372
3	2	0.012	90.454	90.442	50662	rs10172629	rs371907023
4	2	95.329	243.178	147.849	72517	rs10210207	rs141309839
5	3	0.061	90.501	90.439	50538	rs13060385	rs150154568
6	3	93.514	197.884	104.371	50844	rs76526393	rs201015075
7	4	0.035	49.660	49.625	25936	i716812	rs12163870
8	4	52.660	191.027	138.367	63577	i716861	rs4690216
9	5	0.011	46.399	46.388	23948	i700003	rs7293455
10	5	49.432	180.715	131.283	64469	rs140206124	rs145679896
11	6	0.100	58.780	58.680	49263	i717291	rs9378056
12	6	61.891	170.919	109.028	54690	rs4502981	rs12530134
13	7	0.038	58.050	58.012	34771	rs184280400	rs184749921
14	7	61.061	159.124	98.063	48684	i717867	rs115878711
15	8	0.165	43.831	43.666	29831	rs11780869	i718151
16	8	46.856	146.301	99.444	46621	i718155	rs377716735
17	9	0.047	47.206	47.160	25987	rs10814410	i718530
18	9	65.612	141.102	75.490	39758	rs77991151	rs117366286
19	10	0.094	39.152	39.058	24419	i6041973	i713639
20	10	42.356	135.523	93.168	51837	i713640	rs9665515
21	11	0.129	51.591	51.463	30947	i713839	rs61898040
22	11	54.731	134.945	80.215	45928	rs145914154	rs77234116
23	12	0.068	34.853	34.785	21989	i714193	rs12315121
24	12	37.866	133.838	95.973	51264	rs7308183	rs146464797
25	13	19.025	115.107	96.082	55534	rs79573366	rs9525207
26	14	19.000	107.288	88.288	48247	rs140572328	rs10149476
27	15	20.005	102.462	82.458	46254	rs118030220	rs777311520
28	16	0.068	35.286	35.218	20672	rs746539639	rs28973178
29	16	46.394	90.239	43.845	28223	rs4967795	i714969
30	17	0.001	22.263	22.261	14137	rs62053747	rs371113801
31	17	25.268	81.152	55.883	32950	i709632	rs35284141
32	18	0.011	15.410	15.399	9578	rs7241374	rs372532984
33	18	18.517	78.015	59.498	33271	rs76704444	rs12960632
34	19	0.111	24.630	24.519	14900	rs758845698	rs150866000
35	19	27.732	59.098	31.366	19426	rs74708532	rs117625253
36	20	0.061	26.316	26.255	16755	rs6078030	rs367824899
37	20	29.427	62.960	33.534	19770	rs183911813	rs11698187
38	21	14.360	48.100	33.740	20683	i716037	rs10483083
39	22	16.055	51.215	35.160	22593	rs117246541	rs190639024
40	23	0.062	58.488	58.426	17822	rs28503286	i712709
41	23	61.686	155.237	93.551	25955	i721075	rs2981828
